"Name","Description","Image Link","Price","Rating","Name Merchant"
"Advan Handphone Nasaplus 2 GB 16 GB Blue - Deep Blue","asd","https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_naH_UdHprObm-xgVY789CBUstpbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_yh6ArOosrRHmFiqfuNPfYagVY2gmUE6_rfoprdoAjDUMVj9RosQR-BUstpHsnXHArfopHf6_raHpJhHiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9BHqj7a_jzCHjNkz_uo8Mrh_92z81NEgfBHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBo1pzdZ3BRq3-W69ugHBu2_fB-HuBke_V6zV203MjFP7Ok1M2HuVJO3uzoPJY91_Cg1pVD_Bz-HjOJzMWqQuBd3320q1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fB-q1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-P7B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1Ok3_-HqMoE_1zg8JNJz_Co8B1O_32sq3gzv_7ibm-Orfua9fBjUstiHmUDUMVDgaUEUMW79fudy3o7UiFiQSuWyMua9fYM9fVjraUEHZFiQSuWyMua9fVjrOYag9Ji6sJDUMNwyfVXgcBjy9zB9fVjraUEoiFiy3-wPcupPmUEUjdibm-fg9-pq3YXUstiPsUiwe?keyword_correction=handphone&src=search&click_ad_type=2&keywords=handphone&cpm_template_req=2%2C3%2C4%2C5&is_search=1&t=desktop&uid=0&r=https%3A%2F%2Fwww.tokopedia.com%2Fstartgoofficial%2Fadvan-handphone-nasaplus-2-gb-16-gb-blue-deep-blue&page=1&template_id_used=3&product_id=1439811498","770000","4.9","garmastore"
"Advan Handphone Nasaplus 2 GB 16 GB Black + JBL - Black","asd","https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_naH_UdHprObm-xgVY789CBUstpbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_yh6ArOosrRHmFiqfuNPfYagVY2gmUE6_rfoprdoAjDUMVj9RosQR-BUstpHsnXHArfopHf6_raHpJhHiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9BHqj7a_jzCHjNkz_uo8Mrh_92z81NEgfBHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBo1pzdZ3BRq3-W69ugHBu2_fB-HuBke_V6zV203MjFP7Ok1M2HuVJO3uzoPJY91_Cg1pVD_Bz-HjOJzMWqQuBd3320q1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fB-q1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-P7B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1Ok3_-HqMoE_1zg8JNJz_Co8B1O_32sq3gzv_7ibm-Orfua9fBjUstiHmUDUMVDgaUEUMW79fudy3o7UiFiQSuWyMua9fYM9fVjraUEHZFiQSuWyMua9fVjrOYag9Ji6sJDUMNwyfVXgcBjy9zB9fVjraUEoiFiy3-wPcupPmUEUjdibm-fg9-pq3YXUstiPsUiwe?src=search&keywords=handphone&cpm_template_req=2%2C3%2C4%2C5&keyword_correction=handphone&product_id=1486711656&t=desktop&uid=0&r=https%3A%2F%2Fwww.tokopedia.com%2Fstartgoofficial%2Fadvan-handphone-nasaplus-2-gb-16-gb-black-jbl-black&page=1&is_search=1&template_id_used=3&click_ad_type=2","770000","4.8","garmastore"
"Advan Handphone Nasaplus 2 GB 16 GB Black + Start Go TWS 2 - Black","asd","https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_naH_UdHprObm-xgVY789CBUstpbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_yh6ArOosrRHmFiqfuNPfYagVY2gmUE6_rfoprdoAjDUMVj9RosQR-BUstpHsnXHArfopHf6_raHpJhHiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9BHqj7a_jzCHjNkz_uo8Mrh_92z81NEgfBHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBo1pzdZ3BRq3-W69ugHBu2_fB-HuBke_V6zV203MjFP7Ok1M2HuVJO3uzoPJY91_Cg1pVD_Bz-HjOJzMWqQuBd3320q1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fB-q1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-P7B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1Ok3_-HqMoE_1zg8JNJz_Co8B1O_32sq3gzv_7ibm-Orfua9fBjUstiHmUDUMVDgaUEUMW79fudy3o7UiFiQSuWyMua9fYM9fVjraUEHZFiQSuWyMua9fVjrOYag9Ji6sJDUMNwyfVXgcBjy9zB9fVjraUEoiFiy3-wPcupPmUEUjdibm-fg9-pq3YXUstiPsUiwe?keyword_correction=handphone&t=desktop&uid=0&r=https%3A%2F%2Fwww.tokopedia.com%2Fstartgoofficial%2Fadvan-handphone-nasaplus-2-gb-16-gb-black-start-go-tws-2-black&cpm_template_req=2%2C3%2C4%2C5&src=search&keywords=handphone&template_id_used=3&click_ad_type=2&product_id=1486719855&is_search=1&page=1","899000","","garmastore"
"Inone Handphone Lava Arc 108 Dual Sim Internet GPRS with FM Radio - Biru","asd","https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6_jNH_KdopJDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosJdop1foprFbm-srcHi6sJFHAnDUMVj9RosQR-BUsthoAUfbsrho_JDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1H7oJOJ3_C6uJ1a_uz-o1OJ_9BoqB17Z3BRqujp1SByH7ND3uxGqMVAZ_g-qjuO_M2zoJOEu9x6qBJ7_92u8JNk1_z617BpZ3O7QcuygIgsQu-Myp-6PMoWu3Bvq1BRZ3BRq3-W69ugHBu2_fBGq7O1gpugQu1O_jHFHuBW3MBHuVVR3Bz-PVB919B68_VW_92sH7NEzM26zcoN_7Pgq1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fBGr7OD6IB6ZIKdypoZPcgU8IoouRxfgAod6VjaZ3BHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z92ouVBO_uzgP7O1_926zVja_Bzu81O1yfBHe72E3_UN8u23692qu7gN3_-Sq1Y2Z9BvzVuO_92z8jOJe_z68Mrh_M2SoJNAZsjibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDfoZFaomFpHA1d9ZFiQBYsy3Njq3zxPcuwy3zpUstR6mFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sJ7H_UDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsU7UBOY?t=desktop&src=search&is_search=1&page=1&ob=23&management_type=1&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Finoneofficial%2Finone-handphone-lava-arc-108-dual-sim-internet-gprs-with-fm-radio-biru%3Fsrc%3Dtopads&keywords=handphone","129900","4.7","garmastore"
"Advan Nasaplus 2GB 16GB Smartphone Android10 Quadcore Garansi Resmi - Hitam","asd","https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopH7HpJfoAHDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosJdop1foprFbm-srcHi6sKFHmFiy3zwrfo5rM1i6sJp6AHXopeRoaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoq_zE_M2-81OJ1_ooqBJF_1z0HJNJgp--q9P23_oZ8uKp_Mhg3J2ky1o-ojBkz9uoucPN_1zo8jOJqp-vuJja_S2V8jY_Z9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq120_uzSouBWu_u6epnh33Oqq1h119PquJB73uPz81NNH3Oo8MHp_S2cqjNJyRBvzOB2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12p_3Fd81NU8AxsHO-7gjxdr7O98IgjHRKd3_--q1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-81Y1z9uvzJVd_7zVP7O1e_V6qjON_Bo-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32-H7N2oAo6zcDh_jzVo1O1gpoouJu2gBJYvZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pyObAU7bAHFo_zPbm-X9foxQMz2gcV7guYxgIHi6srdbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEoAyaopKDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsU7UBOY?page=1&dv=desktop&src=search&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fadvan-official%2Fadvan-nasaplus-2gb-16gb-smartphone-android10-quadcore-garansi-resmi-hitam%3Fsrc%3Dtopads&t=desktop&is_search=1&keywords=handphone&ob=23","849000","4.8","garmastore"
"[PROMO] OPPO RENO5 5G SMARTPHONE 8 GB / 128 GB RENO 5 GARANSI RESMI - Fantasy Silver","asd","https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6_jpH_e7H_yDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosJdop1foprFbm-srcHi6syOHmFiy3zwrfo5rM1i6sJp6AHXopHDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1Bd_c2zP7N1z_VoqjBN_jzS81NJ__V6q1BpZ3O7QcuygIgsQu-Myp-6PMoWu3Bvq1BRZ3BRq3-W69ugHBu2_fBGq7O1gpugQu1O_jHFHuBW3MBHuVVR3Bz-PVB919B68_VW_92sH7NEzM26zcoN_7Pgq1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fBGr7OD6IB6ZIKdypoZPcgU8IoouRxfgAod6VjaZ3BHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z9B6qMoO_7zgo1NE__ooqMr7_S2u8JO113BHe72E3_UN8u23692qu7gN3_-Sq1Y2Z9B68BBO_S2zHjOJz92oqMDp_1zsP7YAZsjibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDfoZFaomFpHA179ZFiQBYsy3Njq3zxPcuwy3zpUstR6mFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sUOosJ7bm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUaom-Pwe?r=https%3A%2F%2Fwww.tokopedia.com%2Fbonbon-elektronik%2Fpromo-oppo-reno5-5g-smartphone-8-gb-128-gb-reno-5-garansi-resmi-fantasy-silver%3Fsrc%3Dtopads&keywords=handphone&management_type=2&t=desktop&dv=desktop&src=search&page=1&is_search=1&ob=23","6099000","5.0","garmastore"
"HP HANDPHONE NOKIA 105 JADUL DUAL SIM TERBARU SC - Biru","asd","https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_nhHsKR6Arhbm-xgVY789CBUsthbm-FQRo2PcB5QiUEomFiPcBWgZUEH_yh6ArOosrRHmFiyRCsUst7HAnDUMVj9RosQR-BUsthHpKabsJdoAyDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1BN_c2-HJOEu_zvucHF_92uoJY1ypCo8BB2_JoGrB2yQAoiH7203Ao6qMUpZMh-qMY2_1o-r7BWo9giQ1NDZ325qu2Jz_zvu72D_OzzPJN9ZMOgq_nF_1Pu81h9zMWoqMo73M2oH7NEyRxg8BJp_32tQ1B2PfBiH72F3s-DPuKa1MhszsBF3jo-ojBke3BHe72fyfODQMV9o3gsZJ2f3jx3qMzc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMHaqIgszsBF3jo-ojBke3BHe72dgVP383u36_CgufzEZ325q3-JZMgoqBUdgjx6Hc-y8AxizJgpysoj6cgI_MB-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBoqMHO_c2ooJN1Z_z6qj7a_1z08JN1z92-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqMHa_c2z8jNkqRx6qjVd_92Vo1NJgR2-QsnYUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2Qos1DHseDHpnO6V7DUMNwyfVXgcBjy9zB9fVjraUEopKDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUsthopjdHaFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHsei997?is_search=1&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fmakmurjayav2%2Fhp-handphone-nokia-105-jadul-dual-sim-terbaru-sc-biru%3Fsrc%3Dtopads&src=search&t=desktop&management_type=1&keywords=handphone&page=1&ob=23","140000","5.0","garmastore"
"HP HAPE HANDPHONE JADUL SAMSUNG 1272 DUAL SIM BARU NEW TERMURAH MURAH","asd","https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6An7o_1dHAeDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosJdop1foprFbm-srcHi6srOHmFiy3zwrfo5rM1i6sJp6AJXHAn7bm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1O_oAC68jJh_7zS81OEu9BvuVVd_uzsH1B2PfBgHO-N3Ao6QVByZM2xe7jfZ32-q1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBqzJ17_OPGQJY119z6u72W33jFHJOIu9BHu7g0_32sPV2k__o68Mod392zH7OkqcO-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBizJ2M_32Z6cgU_sCi3IKdyjzcrfUpgAxMz7N2Z3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_320o1hk1_V6qMDF_7z-8jYJZ_uouVu2_JoG8Bja69BqusBE3BPc8ujagfBvq1BN_S2gP1Oke9P68MWE_32VHJOk39P6qMo2gBJYvZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pyObAU7bAHFo_xPbm-X9foxQMz2gcV7guYxgIHi6srdbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEH_rN6AHDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsU7UBOY?dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Ftoko-absolute%2Fhp-hape-handphone-jadul-samsung-1272-dual-sim-baru-new-termurah-murah%3Fsrc%3Dtopads&page=1&management_type=1&t=desktop&src=search&is_search=1&keywords=handphone&ob=23","157900","4.6","garmastore"
"Xiaomi Poco M3 6GB / 128GB 4GB / 64GB Garansi Resmi 1 Tahun","asd","https://www.tokopedia.com/dewaponselrakyat/xiaomi-poco-m3-6gb-128gb-4gb-64gb-garansi-resmi-1-tahun-4-64-non-bonus?whid=0","1990000","4.9","garmastore"
"Samsung Galaxy A01 Core 2/32GB Garansi Resmi Samsung A01 2 GB 32 GB","asd","https://www.tokopedia.com/distriponsel/samsung-galaxy-a01-core-2-32gb-garansi-resmi-samsung-a01-2-gb-32-gb-non-bundle-1gb-16gb?whid=0","904000","4.8","garmastore"
